;X;Y
1;-3.046827547;1.399570534
2;16.48640158;0.537549262
3;-7.997213565;-0.105164593
4;5.71970134;17.76022394
5;0.925596683;-4.443021949
6;-8.009996877;-2.02299136
7;-10.23046642;-2.696640462
8;4.825452482;7.931732198
9;5.641514737;0.234677607
10;1.041134612;-5.370512252
11;0.831000807;2.642938918
12;7.435260344;11.09563981
13;-11.85833093;1.656250067
14;-9.104144779;-5.429399029
15;2.321724918;7.398473273
16;-23.45942034;-3.966328772
17;12.48151057;-4.493807914
18;17.20525795;17.43957211
19;9.206492881;6.984988615
20;5.156294275;15.13047284
21;10.6786007;4.283618384
22;-7.661777327;6.613045406
23;13.75405945;10.5167379
24;0.365805099;-0.884635344
25;5.814818817;10.384579
26;2.468038823;9.126332986
27;-13.19574689;-2.281413529
28;9.371208883;12.90815723
29;-4.28422115;-0.060029019
30;10.55792055;8.133166309
31;-26.00447663;4.597897243
32;18.86590849;-0.765038109
33;1.497120065;0.947920239
34;-6.025916162;-13.41489576
35;0.680673069;-2.671492703
36;-2.000013767;-5.293188811
37;2.053230002;10.26403477
38;-1.370006149;1.9746023
39;0.104548766;3.099832307
40;13.96368385;5.615764513
41;4.082142127;-3.434456089
42;9.606431226;5.329492017
43;-16.06939637;8.588113745
44;-15.09335053;-5.088241495
45;6.236630875;14.75998224
46;-4.277414553;-3.672724791
47;4.100338026;-3.616352504
48;10.95580714;8.269025925
49;9.030219339;11.78128762
50;-17.560049;-7.686503565
51;6.608124092;12.06557638
52;-15.87358213;-2.163815833
53;-17.73752421;-0.535909323
54;-0.701792766;13.15742486
55;-14.14983001;-4.955117272
56;-2.067740872;-11.64889895
57;-18.39333195;-4.986837819
58;4.08985967;1.603898915
59;-10.49982509;3.408532767
60;4.688756801;9.109460847
61;0.237719358;7.341657364
62;-1.082957445;-8.605105056
63;9.902968594;14.18449095
64;6.816454364;14.61889275
65;7.880820671;7.376943095
66;5.857315669;3.602019662
67;-20.39669391;5.370352237
68;-20.03129547;2.03799504
69;-14.95157966;-0.93311964
70;-21.8540156;1.788502972
71;6.756594233;12.95730487
72;5.393726833;-1.530772464
73;1.746857134;-0.280441174
74;0.648739234;3.774190523
75;-12.13005467;-0.961943695
76;8.791925297;6.68324179
77;5.376827328;18.41867656
78;-5.661986165;-1.974080439
79;-4.528190972;-2.776736844
80;-12.7673777;5.008371668
81;-0.029249017;-3.761360141
82;3.08612283;-5.705705208
83;1.951058475;-0.615072859
84;8.932495973;10.38503642
85;6.532276136;-5.08400134
86;2.225636343;3.875975261
87;5.502965656;13.60916916
88;8.961782758;18.85174196
89;2.101354325;1.293998331
90;7.731791621;11.01305654
91;6.348319987;9.47123832
92;-12.59595157;4.915118802
93;-1.531766062;0.591932249
94;-16.27834197;-4.420885002
95;0.432776188;-1.16228902
96;-9.499489812;-1.31202139
97;4.747429554;11.49983309
98;7.248426759;6.850627468
99;-16.76264543;-0.029807666
100;11.67443351;8.880556722
101;10.92891238;6.258401254
102;-10.49706352;-1.315989572
103;-13.31989032;1.409005962
104;0.023661338;-2.363636973
105;-15.54903559;1.810777383
106;-23.76659738;8.035320656
107;12.84773442;14.11467361
108;8.843258777;5.613723407
109;-14.02591434;13.3201393
110;11.17874823;12.33584229
111;7.998457793;14.60717431
112;-13.46446895;5.081621904
113;-17.58828817;-4.401620059
114;-13.37159515;1.733044075
115;-6.534239119;-2.681684418
116;8.734164506;11.66777455
117;11.8477372;16.79844865
118;1.927777204;-3.747067675
119;-11.28570394;4.263426277
120;-8.057102928;-2.379139921
121;4.463283865;6.029550622
122;-2.712159848;-1.859860766
123;-2.995975785;5.027213783
124;6.319420819;-1.97189154
125;-0.382491152;4.753355251
126;-13.39941038;4.242587318
127;2.314600165;-6.301253493
128;9.833922865;6.351028873
129;-12.61216607;-2.788733792
130;-9.815445231;9.430393976
131;-12.80728274;4.03857803
132;-21.29155255;0.432746411
133;-9.90322176;7.907885003
134;-15.25154715;-7.080318196
135;-0.027379185;-5.040251646
136;13.62477068;5.825737211
137;-24.26728344;0.236060225
138;-20.38832424;3.156601573
139;9.821232037;10.19960328
140;-3.924120642;-2.566450324
141;2.135272834;5.099734975
142;7.219767953;1.140577803
143;10.11928643;2.919129778
144;10.87492657;1.877094853
145;5.652299225;-4.34003463
146;4.123726136;15.36800297
147;-2.065450193;-0.22691878
148;10.32578987;19.07814084
149;-0.07615775;-2.440766177
150;0.516334752;-0.095746757
151;11.34784836;12.80381424
152;11.97591054;11.80418427
153;-2.849322728;5.113413209
154;7.334231832;5.55568999
155;-5.69195103;4.562812085
156;-14.33610633;-2.493327002
157;6.584496995;12.82250798
158;1.714170525;-3.883460606
159;-16.14924089;-5.364703361
160;-7.660957236;0.226787122
161;-0.432576119;-1.946825728
162;-7.295230627;1.406632149
163;16.94241722;5.92771557
164;14.76152515;7.3125078
165;-10.93312502;-12.20565608
166;-0.361554887;-4.095091698
167;-15.43274252;-0.715028365
168;-6.428692393;6.445007902
169;6.277684603;2.926186812
170;7.842465016;13.22868479
171;-13.30169735;8.138603229
172;-0.205629618;-1.241176996
173;9.600130734;16.21943476
174;9.895446879;11.3731447
175;-9.870624945;5.788244387
176;-18.3664982;-14.63553633
177;-8.114629377;2.31911712
178;-12.01201186;-1.129576631
179;18.51626046;17.00886327
180;8.773607491;8.93893765
181;9.799967899;11.86442062
182;7.836220242;4.605965493
183;8.882611545;0.116189359
184;-9.953075853;-7.398876763
185;17.24906191;11.57065944
